date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,weekend_flag,marketing_push_flag,weather_disruption_index,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,primary_warehouse_id,year,month,week_number,day_of_week,quarter,month_name,year_month,revenue,margin,margin_pct
2024-11-26,SKU-100012,South,33,33.32,1,0,1970-01-01,0,-0.38,Kitchen,30.06,129.52,0.22,0.931,WH-S100001,2024,11,48,1,4,Nov,2024-11,4274.160000000001,3282.1800000000003,76.79
2025-05-20,SKU-100013,North,34,178.76,0,0,1970-01-01,0,-0.6,Toys,119.1,158.8,0.61,0.973,WH-N100000,2025,5,21,1,2,May,2025-05,5399.200000000001,1349.8000000000006,25.0
2025-05-11,SKU-100014,North,47,176.36,0,0,1970-01-01,0,0.31,Pet,39.01,44.01,0.77,0.983,WH-N100000,2025,5,19,6,2,May,2025-05,2068.47,235.0,11.36
2025-06-19,SKU-100015,East,36,105.24,0,0,1970-01-01,0,-0.8,Electronics,54.03,86.74,0.58,0.976,WH-E100002,2025,6,25,3,2,Jun,2025-06,3122.64,1177.5599999999995,37.71
2024-10-22,SKU-100016,West,42,43.65,0,0,1970-01-01,0,2.26,Pet,119.39,197.26,0.68,0.987,WH-W100003,2024,10,43,1,4,Oct,2024-10,8284.92,3270.5399999999995,39.48
2025-01-17,SKU-100017,North,60,191.16,0,0,1970-01-01,0,1.58,Home,85.74,189.02,1.49,0.954,WH-N100000,2025,1,3,4,1,Jan,2025-01,11341.2,6196.800000000001,54.64
2024-10-27,SKU-100018,South,45,44.52,0,0,1970-01-01,0,0.12,Electronics,50.98,190.65,0.55,0.959,WH-S100001,2024,10,43,6,4,Oct,2024-10,8579.25,6285.150000000001,73.26
2025-03-21,SKU-100019,East,28,102.66,0,0,1970-01-01,0,-0.92,Toys,14.98,175.66,1.79,0.972,WH-E100002,2025,3,12,4,1,Mar,2025-03,4918.48,4499.04,91.47
2025-06-02,SKU-100020,East,46,32.11,0,0,1970-01-01,0,1.66,Toys,22.32,198.29,0.86,0.968,WH-E100002,2025,6,23,0,2,Jun,2025-06,9121.34,8094.62,88.74
2024-12-27,SKU-100021,East,55,183.52,1,0,1970-01-01,1,-1.26,Beauty,61.85,78.7,0.76,0.931,WH-E100002,2024,12,52,4,4,Dec,2024-12,4328.5,926.75,21.41
2024-12-06,SKU-100022,East,33,111.65,1,0,1970-01-01,0,0.0,Electronics,112.48,134.55,0.33,0.966,WH-E100002,2024,12,49,4,4,Dec,2024-12,4440.150000000001,728.3100000000003,16.4
2024-07-01,SKU-100023,West,31,106.42,0,1,1970-01-01,0,-0.85,Home,118.88,33.69,0.21,0.975,WH-W100003,2024,7,27,0,3,Jul,2024-07,1044.39,-2640.89,-252.86
2025-01-15,SKU-100024,East,56,93.54,0,0,1970-01-02,0,-1.56,Electronics,82.88,157.93,0.66,0.952,WH-E100002,2025,1,3,2,1,Jan,2025-01,8844.08,4202.800000000001,47.52
2025-01-14,SKU-100025,North,30,189.43,0,0,1970-01-02,0,0.08,Kitchen,40.39,32.87,0.64,0.972,WH-N100000,2025,1,3,1,1,Jan,2025-01,986.1,-225.60000000000008,-22.88
2024-09-12,SKU-100026,West,23,129.16,0,0,1970-01-02,0,1.38,Electronics,96.37,130.18,0.12,0.949,WH-W100003,2024,9,37,3,3,Sep,2024-09,2994.1400000000003,777.6300000000001,25.97
2024-10-14,SKU-100027,North,29,101.87,0,0,1970-01-02,0,-1.08,Electronics,47.52,108.9,0.08,0.975,WH-N100000,2024,10,42,0,4,Oct,2024-10,3158.1000000000004,1780.02,56.36
2024-11-17,SKU-100028,North,68,168.03,1,0,1970-01-02,0,-1.1,Pet,68.29,97.95,0.38,0.978,WH-N100000,2024,11,46,6,4,Nov,2024-11,6660.6,2016.88,30.28
2025-02-14,SKU-100029,West,46,32.66,0,0,1970-01-02,0,-1.22,Kitchen,38.64,161.51,0.29,0.933,WH-W100003,2025,2,7,4,1,Feb,2025-02,7429.459999999999,5652.02,76.08
2024-08-23,SKU-100030,West,31,32.39,0,0,1970-01-02,0,0.2,Kitchen,30.06,129.52,0.22,0.931,WH-W100003,2024,8,34,4,3,Aug,2024-08,4015.12,3083.26,76.79
2025-01-24,SKU-100031,East,49,122.76,0,0,1970-01-02,0,-1.23,Toys,119.1,158.8,0.61,0.973,WH-E100002,2025,1,4,4,1,Jan,2025-01,7781.200000000001,1945.3000000000009,25.0
2025-02-02,SKU-100032,North,67,155.03,0,0,1970-01-02,0,0.48,Pet,39.01,44.01,0.77,0.983,WH-N100000,2025,2,5,6,1,Feb,2025-02,2948.67,335.0,11.36
2024-08-27,SKU-100033,North,43,43.41,0,0,1970-01-02,0,1.1,Electronics,54.03,86.74,0.58,0.976,WH-N100000,2024,8,35,1,3,Aug,2024-08,3729.82,1406.5299999999995,37.71
2025-05-23,SKU-100034,East,64,148.03,0,0,1970-01-02,0,1.24,Pet,119.39,197.26,0.68,0.987,WH-E100002,2025,5,21,4,2,May,2025-05,12624.64,4983.679999999999,39.48
2024-11-24,SKU-100035,North,46,192.38,1,0,1970-01-02,0,-1.22,Home,85.74,189.02,1.49,0.954,WH-N100000,2024,11,47,6,4,Nov,2024-11,8694.92,4750.880000000001,54.64
2024-08-14,SKU-100036,East,35,175.8,0,0,1970-01-02,0,0.31,Electronics,50.98,190.65,0.55,0.959,WH-E100002,2024,8,33,2,3,Aug,2024-08,6672.75,4888.450000000001,73.26
2025-05-21,SKU-100037,East,49,190.62,0,0,1970-01-02,0,-0.6,Toys,14.98,175.66,1.79,0.972,WH-E100002,2025,5,21,2,2,May,2025-05,8607.34,7873.320000000001,91.47
2024-09-24,SKU-100038,South,30,126.36,0,0,1970-01-02,0,-2.01,Toys,22.32,198.29,0.86,0.968,WH-S100001,2024,9,39,1,3,Sep,2024-09,5948.7,5279.1,88.74
2025-03-23,SKU-100039,West,49,164.66,0,0,1970-01-02,0,0.04,Beauty,61.85,78.7,0.76,0.931,WH-W100003,2025,3,12,6,1,Mar,2025-03,3856.3,825.6500000000001,21.41
2025-05-02,SKU-100040,West,59,44.7,0,0,1970-01-02,0,0.48,Electronics,112.48,134.55,0.33,0.966,WH-W100003,2025,5,18,4,2,May,2025-05,7938.450000000001,1302.1300000000003,16.4
2025-01-12,SKU-100041,East,71,188.06,0,0,1970-01-02,0,0.59,Home,118.88,33.69,0.21,0.975,WH-E100002,2025,1,2,6,1,Jan,2025-01,2391.99,-6048.49,-252.86
2024-10-23,SKU-100042,East,22,123.57,0,0,1970-01-02,0,2.26,Electronics,82.88,157.93,0.66,0.952,WH-E100002,2024,10,43,2,4,Oct,2024-10,3474.46,1651.1000000000004,47.52
2024-07-05,SKU-100043,East,33,188.31,0,1,1970-01-02,0,0.39,Kitchen,40.39,32.87,0.64,0.972,WH-E100002,2024,7,27,4,3,Jul,2024-07,1084.7099999999998,-248.1600000000001,-22.88
2025-04-27,SKU-100044,East,32,83.89,0,0,1970-01-02,0,-0.11,Electronics,96.37,130.18,0.12,0.949,WH-E100002,2025,4,17,6,2,Apr,2025-04,4165.76,1081.92,25.97
2025-06-10,SKU-100045,East,31,132.46,0,0,1970-01-02,0,0.31,Electronics,47.52,108.9,0.08,0.975,WH-E100002,2025,6,24,1,2,Jun,2025-06,3375.9,1902.78,56.36
2024-09-13,SKU-100046,East,61,74.98,0,0,1970-01-02,0,-0.94,Pet,68.29,97.95,0.38,0.978,WH-E100002,2024,9,37,4,3,Sep,2024-09,5974.95,1809.26,30.28
2024-12-15,SKU-100047,North,79,73.91,1,0,1970-01-02,0,-0.87,Kitchen,38.64,161.51,0.29,0.933,WH-N100000,2024,12,50,6,4,Dec,2024-12,12759.29,9706.73,76.08
2025-01-04,SKU-100048,South,37,175.66,0,0,1970-01-03,0,0.22,Kitchen,30.06,129.52,0.22,0.931,WH-S100001,2025,1,1,5,1,Jan,2025-01,4792.240000000001,3680.02,76.79
2025-01-16,SKU-100049,East,40,165.47,0,0,1970-01-03,0,-1.56,Toys,119.1,158.8,0.61,0.973,WH-E100002,2025,1,3,3,1,Jan,2025-01,6352.0,1588.000000000001,25.0
2025-04-11,SKU-100050,South,23,83.52,0,0,1970-01-03,0,1.55,Pet,39.01,44.01,0.77,0.983,WH-S100001,2025,4,15,4,2,Apr,2025-04,1012.23,115.0,11.36
2024-10-05,SKU-100051,North,29,197.11,0,0,1970-01-03,0,1.31,Electronics,54.03,86.74,0.58,0.976,WH-N100000,2024,10,40,5,4,Oct,2024-10,2515.46,948.5899999999998,37.71
2024-10-26,SKU-100052,West,49,42.88,0,0,1970-01-03,0,0.14,Pet,119.39,197.26,0.68,0.987,WH-W100003,2024,10,43,5,4,Oct,2024-10,9665.74,3815.63,39.48
2024-07-25,SKU-100053,South,30,160.14,0,1,1970-01-03,1,1.77,Home,85.74,189.02,1.49,0.954,WH-S100001,2024,7,30,3,3,Jul,2024-07,5670.6,3098.4000000000005,54.64
2025-02-07,SKU-100054,North,37,157.85,0,0,1970-01-03,0,1.67,Electronics,50.98,190.65,0.55,0.959,WH-N100000,2025,2,6,4,1,Feb,2025-02,7054.05,5167.790000000001,73.26
2024-12-08,SKU-100055,East,44,99.76,1,0,1970-01-03,0,0.0,Toys,14.98,175.66,1.79,0.972,WH-E100002,2024,12,49,6,4,Dec,2024-12,7729.04,7069.92,91.47
2024-12-23,SKU-100056,West,43,31.34,1,0,1970-01-03,0,0.55,Toys,22.32,198.29,0.86,0.968,WH-W100003,2024,12,52,0,4,Dec,2024-12,8526.47,7566.71,88.74
2025-02-25,SKU-100057,South,82,80.56,0,0,1970-01-03,0,0.42,Beauty,61.85,78.7,0.76,0.931,WH-S100001,2025,2,9,1,1,Feb,2025-02,6453.400000000001,1381.7,21.41
2025-06-18,SKU-100058,East,79,76.63,0,0,1970-01-03,1,0.11,Electronics,112.48,134.55,0.33,0.966,WH-E100002,2025,6,25,2,2,Jun,2025-06,10629.45,1743.5300000000009,16.4
2025-04-08,SKU-100059,West,28,156.91,0,0,1970-01-03,0,-1.75,Home,118.88,33.69,0.21,0.975,WH-W100003,2025,4,15,1,2,Apr,2025-04,943.32,-2385.32,-252.86
2025-06-13,SKU-100060,North,64,162.26,0,0,1970-01-03,0,-1.73,Electronics,82.88,157.93,0.66,0.952,WH-N100000,2025,6,24,4,2,Jun,2025-06,10107.52,4803.200000000001,47.52
2024-09-26,SKU-100061,South,20,106.61,0,0,1970-01-03,0,-0.97,Kitchen,40.39,32.87,0.64,0.972,WH-S100001,2024,9,39,3,3,Sep,2024-09,657.4,-150.40000000000006,-22.88
2024-07-24,SKU-100062,West,39,151.7,0,1,1970-01-03,0,-0.52,Electronics,96.37,130.18,0.12,0.949,WH-W100003,2024,7,30,2,3,Jul,2024-07,5077.02,1318.59,25.97
2024-08-11,SKU-100063,East,50,190.02,0,0,1970-01-03,0,-0.41,Electronics,47.52,108.9,0.08,0.975,WH-E100002,2024,8,32,6,3,Aug,2024-08,5445.0,3069.0,56.36
2024-11-08,SKU-100064,South,21,149.51,1,0,1970-01-03,0,0.88,Pet,68.29,97.95,0.38,0.978,WH-S100001,2024,11,45,4,4,Nov,2024-11,2056.9500000000003,622.8599999999999,30.28
2024-11-02,SKU-100065,North,44,154.03,0,0,1970-01-03,0,-0.4,Kitchen,38.64,161.51,0.29,0.933,WH-N100000,2024,11,44,5,4,Nov,2024-11,7106.44,5406.28,76.08
2024-11-22,SKU-100066,West,29,84.62,1,0,1970-01-03,0,1.54,Kitchen,30.06,129.52,0.22,0.931,WH-W100003,2024,11,47,4,4,Nov,2024-11,3756.08,2884.34,76.79
2025-06-18,SKU-100067,North,47,127.53,0,0,1970-01-03,1,0.11,Toys,119.1,158.8,0.61,0.973,WH-N100000,2025,6,25,2,2,Jun,2025-06,7463.6,1865.9000000000008,25.0
2024-12-18,SKU-100068,North,50,151.56,1,0,1970-01-03,0,-1.39,Pet,39.01,44.01,0.77,0.983,WH-N100000,2024,12,51,2,4,Dec,2024-12,2200.5,250.0,11.36
2024-08-07,SKU-100069,North,21,127.85,0,0,1970-01-03,0,0.48,Electronics,54.03,86.74,0.58,0.976,WH-N100000,2024,8,32,2,3,Aug,2024-08,1821.54,686.9099999999999,37.71
2025-04-15,SKU-100070,West,38,134.39,0,0,1970-01-03,0,1.78,Pet,119.39,197.26,0.68,0.987,WH-W100003,2025,4,16,1,2,Apr,2025-04,7495.879999999999,2959.0599999999995,39.48
2025-02-23,SKU-100071,West,35,132.89,0,0,1970-01-03,0,-1.41,Home,85.74,189.02,1.49,0.954,WH-W100003,2025,2,8,6,1,Feb,2025-02,6615.700000000001,3614.8000000000006,54.64
2024-12-25,SKU-100072,East,46,32.32,1,0,1970-01-04,0,-1.28,Electronics,50.98,190.65,0.55,0.959,WH-E100002,2024,12,52,2,4,Dec,2024-12,8769.9,6424.820000000001,73.26
2024-09-12,SKU-100073,North,50,166.82,0,0,1970-01-04,0,-0.27,Toys,14.98,175.66,1.79,0.972,WH-N100000,2024,9,37,3,3,Sep,2024-09,8783.0,8034.0,91.47
2025-06-24,SKU-100074,North,57,43.23,0,0,1970-01-04,0,0.18,Toys,22.32,198.29,0.86,0.968,WH-N100000,2025,6,26,1,2,Jun,2025-06,11302.53,10030.29,88.74
2024-12-11,SKU-100075,East,48,127.24,1,0,1970-01-04,0,0.67,Beauty,61.85,78.7,0.76,0.931,WH-E100002,2024,12,50,2,4,Dec,2024-12,3777.6,808.8000000000001,21.41
2025-02-22,SKU-100076,West,57,41.21,0,0,1970-01-04,0,-0.47,Electronics,112.48,134.55,0.33,0.966,WH-W100003,2025,2,8,5,1,Feb,2025-02,7669.35,1257.9900000000005,16.4
2025-06-04,SKU-100077,South,55,44.34,0,0,1970-01-04,0,0.52,Home,118.88,33.69,0.21,0.975,WH-S100001,2025,6,23,2,2,Jun,2025-06,1852.95,-4685.45,-252.86
2025-05-17,SKU-100078,South,27,128.45,0,0,1970-01-04,0,0.34,Electronics,82.88,157.93,0.66,0.952,WH-S100001,2025,5,20,5,2,May,2025-05,4264.110000000001,2026.3500000000004,47.52
2024-09-12,SKU-100079,West,35,186.01,0,0,1970-01-04,0,-0.27,Kitchen,40.39,32.87,0.64,0.972,WH-W100003,2024,9,37,3,3,Sep,2024-09,1150.4499999999998,-263.2000000000001,-22.88
2025-05-06,SKU-100080,West,43,129.1,0,0,1970-01-04,0,-0.31,Electronics,96.37,130.18,0.12,0.949,WH-W100003,2025,5,19,1,2,May,2025-05,5597.740000000001,1453.8300000000002,25.97
2025-03-22,SKU-100081,North,24,134.08,0,0,1970-01-04,0,1.39,Electronics,47.52,108.9,0.08,0.975,WH-N100000,2025,3,12,5,1,Mar,2025-03,2613.6000000000004,1473.12,56.36
2025-05-10,SKU-100082,North,39,153.81,0,0,1970-01-04,0,-1.26,Pet,68.29,97.95,0.38,0.978,WH-N100000,2025,5,19,5,2,May,2025-05,3820.05,1156.7399999999998,30.28
2024-10-10,SKU-100083,North,35,146.96,0,0,1970-01-04,0,1.67,Kitchen,38.64,161.51,0.29,0.933,WH-N100000,2024,10,41,3,4,Oct,2024-10,5652.849999999999,4300.45,76.08
2025-06-05,SKU-100084,North,63,183.65,0,0,1970-01-04,0,1.66,Kitchen,30.06,129.52,0.22,0.931,WH-N100000,2025,6,23,3,2,Jun,2025-06,8159.76,6265.9800000000005,76.79
2025-05-04,SKU-100085,West,27,146.65,0,0,1970-01-04,0,0.48,Toys,119.1,158.8,0.61,0.973,WH-W100003,2025,5,18,6,2,May,2025-05,4287.6,1071.9000000000003,25.0
2024-10-07,SKU-100086,South,37,190.82,0,0,1970-01-04,0,0.67,Pet,39.01,44.01,0.77,0.983,WH-S100001,2024,10,41,0,4,Oct,2024-10,1628.37,185.0,11.36
2024-11-01,SKU-100087,South,16,138.23,0,0,1970-01-04,0,-0.95,Electronics,54.03,86.74,0.58,0.976,WH-S100001,2024,11,44,4,4,Nov,2024-11,1387.84,523.3599999999999,37.71
2025-02-01,SKU-100088,South,21,105.25,0,0,1970-01-04,0,0.26,Pet,119.39,197.26,0.68,0.987,WH-S100001,2025,2,5,5,1,Feb,2025-02,4142.46,1635.2699999999998,39.48
2024-11-10,SKU-100089,North,48,42.96,1,0,1970-01-04,0,-0.47,Home,85.74,189.02,1.49,0.954,WH-N100000,2024,11,45,6,4,Nov,2024-11,9072.96,4957.4400000000005,54.64
2024-08-24,SKU-100090,South,47,93.96,0,0,1970-01-04,0,-0.38,Electronics,50.98,190.65,0.55,0.959,WH-S100001,2024,8,34,5,3,Aug,2024-08,8960.550000000001,6564.490000000001,73.26
2025-01-21,SKU-100091,South,44,185.58,0,0,1970-01-04,0,2.0,Toys,14.98,175.66,1.79,0.972,WH-S100001,2025,1,4,1,1,Jan,2025-01,7729.04,7069.92,91.47
2025-04-17,SKU-100092,South,58,97.76,0,0,1970-01-04,0,0.86,Toys,22.32,198.29,0.86,0.968,WH-S100001,2025,4,16,3,2,Apr,2025-04,11500.82,10206.26,88.74
2024-10-04,SKU-100093,East,47,43.46,0,0,1970-01-04,0,-1.79,Beauty,61.85,78.7,0.76,0.931,WH-E100002,2024,10,40,4,4,Oct,2024-10,3698.9,791.95,21.41
2025-06-09,SKU-100094,East,46,150.63,0,0,1970-01-04,0,0.98,Electronics,112.48,134.55,0.33,0.966,WH-E100002,2025,6,24,0,2,Jun,2025-06,6189.3,1015.2200000000004,16.4
2024-12-23,SKU-100095,North,48,185.41,1,0,1970-01-04,0,-0.56,Home,118.88,33.69,0.21,0.975,WH-N100000,2024,12,52,0,4,Dec,2024-12,1617.12,-4089.12,-252.86
2025-06-13,SKU-100096,West,54,166.3,0,0,1970-01-05,0,0.31,Electronics,82.88,157.93,0.66,0.952,WH-W100003,2025,6,24,4,2,Jun,2025-06,8528.220000000001,4052.7000000000007,47.52
2024-11-26,SKU-100097,South,21,109.34,1,0,1970-01-05,0,0.37,Kitchen,40.39,32.87,0.64,0.972,WH-S100001,2024,11,48,1,4,Nov,2024-11,690.27,-157.92000000000007,-22.88
2024-09-28,SKU-100098,West,39,31.46,0,0,1970-01-05,0,-0.97,Electronics,96.37,130.18,0.12,0.949,WH-W100003,2024,9,39,5,3,Sep,2024-09,5077.02,1318.59,25.97
2024-10-13,SKU-100099,North,45,201.16,0,0,1970-01-05,0,2.2,Electronics,47.52,108.9,0.08,0.975,WH-N100000,2024,10,41,6,4,Oct,2024-10,4900.5,2762.1,56.36
2024-07-16,SKU-100100,East,69,169.53,0,1,1970-01-05,0,0.87,Pet,68.29,97.95,0.38,0.978,WH-E100002,2024,7,29,1,3,Jul,2024-07,6758.55,2046.54,30.28
2024-12-03,SKU-100101,West,27,194.75,1,0,1970-01-05,0,1.45,Kitchen,38.64,161.51,0.29,0.933,WH-W100003,2024,12,49,1,4,Dec,2024-12,4360.77,3317.49,76.08
2025-01-03,SKU-100102,North,26,131.99,1,0,1970-01-05,0,1.68,Kitchen,30.06,129.52,0.22,0.931,WH-N100000,2025,1,1,4,1,Jan,2025-01,3367.5200000000004,2585.96,76.79
2024-12-23,SKU-100103,South,33,163.88,1,0,1970-01-05,0,-2.9,Toys,119.1,158.8,0.61,0.973,WH-S100001,2024,12,52,0,4,Dec,2024-12,5240.400000000001,1310.1000000000006,25.0
2025-06-25,SKU-100104,East,41,148.9,0,0,1970-01-05,0,0.18,Pet,39.01,44.01,0.77,0.983,WH-E100002,2025,6,26,2,2,Jun,2025-06,1804.41,205.0,11.36
2024-11-22,SKU-100105,North,53,42.73,1,0,1970-01-05,0,-0.28,Electronics,54.03,86.74,0.58,0.976,WH-N100000,2024,11,47,4,4,Nov,2024-11,4597.219999999999,1733.6299999999997,37.71
2024-12-05,SKU-100106,North,28,124.65,1,0,1970-01-05,0,-0.89,Pet,119.39,197.26,0.68,0.987,WH-N100000,2024,12,49,3,4,Dec,2024-12,5523.28,2180.36,39.48
2024-12-07,SKU-100107,South,52,79.25,1,0,1970-01-05,0,0.22,Home,85.74,189.02,1.49,0.954,WH-S100001,2024,12,49,5,4,Dec,2024-12,9829.04,5370.56,54.64
2025-03-10,SKU-100108,South,33,158.47,0,0,1970-01-05,0,0.06,Electronics,50.98,190.65,0.55,0.959,WH-S100001,2025,3,11,0,1,Mar,2025-03,6291.45,4609.110000000001,73.26
2025-04-27,SKU-100109,North,32,154.4,0,0,1970-01-05,0,-0.55,Toys,14.98,175.66,1.79,0.972,WH-N100000,2025,4,17,6,2,Apr,2025-04,5621.12,5141.76,91.47
2024-12-03,SKU-100110,South,44,163.52,1,0,1970-01-05,0,1.45,Toys,22.32,198.29,0.86,0.968,WH-S100001,2024,12,49,1,4,Dec,2024-12,8724.76,7742.68,88.74
2024-09-11,SKU-100111,South,40,79.28,0,0,1970-01-05,0,-3.5,Beauty,61.85,78.7,0.76,0.931,WH-S100001,2024,9,37,2,3,Sep,2024-09,3148.0,674.0,21.41
2024-08-22,SKU-100112,West,31,74.61,0,0,1970-01-05,0,1.28,Electronics,112.48,134.55,0.33,0.966,WH-W100003,2024,8,34,3,3,Aug,2024-08,4171.05,684.1700000000002,16.4
2025-01-23,SKU-100113,South,29,103.72,0,0,1970-01-05,0,2.23,Home,118.88,33.69,0.21,0.975,WH-S100001,2025,1,4,3,1,Jan,2025-01,977.01,-2470.51,-252.86
2025-03-31,SKU-100114,North,83,187.94,0,0,1970-01-05,1,-0.59,Electronics,82.88,157.93,0.66,0.952,WH-N100000,2025,3,14,0,1,Mar,2025-03,13108.19,6229.150000000001,47.52
2025-03-24,SKU-100115,East,89,153.71,0,0,1970-01-05,0,0.1,Kitchen,40.39,32.87,0.64,0.972,WH-E100002,2025,3,13,0,1,Mar,2025-03,2925.43,-669.2800000000003,-22.88
2025-05-09,SKU-100116,East,31,148.66,0,0,1970-01-05,0,-1.05,Electronics,96.37,130.18,0.12,0.949,WH-E100002,2025,5,19,4,2,May,2025-05,4035.58,1048.11,25.97
2025-06-16,SKU-100117,West,31,190.15,0,0,1970-01-05,0,-0.44,Electronics,47.52,108.9,0.08,0.975,WH-W100003,2025,6,25,0,2,Jun,2025-06,3375.9,1902.78,56.36
2024-09-28,SKU-100118,North,30,129.07,0,0,1970-01-05,0,-0.97,Pet,68.29,97.95,0.38,0.978,WH-N100000,2024,9,39,5,3,Sep,2024-09,2938.5,889.8,30.28
2024-08-05,SKU-100119,North,46,40.92,0,0,1970-01-05,0,-0.44,Kitchen,38.64,161.51,0.29,0.933,WH-N100000,2024,8,32,0,3,Aug,2024-08,7429.459999999999,5652.02,76.08
2025-01-19,SKU-100120,East,39,32.23,0,0,1970-01-06,0,-1.56,Kitchen,30.06,129.52,0.22,0.931,WH-E100002,2025,1,3,6,1,Jan,2025-01,5051.280000000001,3878.940000000001,76.79
2024-12-03,SKU-100121,West,33,81.95,1,0,1970-01-06,1,1.25,Toys,119.1,158.8,0.61,0.973,WH-W100003,2024,12,49,1,4,Dec,2024-12,5240.400000000001,1310.1000000000006,25.0
2025-05-04,SKU-100122,West,36,146.05,0,0,1970-01-06,1,-0.04,Pet,39.01,44.01,0.77,0.983,WH-W100003,2025,5,18,6,2,May,2025-05,1584.36,180.0,11.36
2024-08-23,SKU-100123,West,34,133.18,0,0,1970-01-06,0,1.28,Electronics,54.03,86.74,0.58,0.976,WH-W100003,2024,8,34,4,3,Aug,2024-08,2949.16,1112.14,37.71
2025-01-17,SKU-100124,South,28,131.63,0,0,1970-01-06,0,-0.02,Pet,119.39,197.26,0.68,0.987,WH-S100001,2025,1,3,4,1,Jan,2025-01,5523.28,2180.36,39.48
2025-02-16,SKU-100125,North,63,78.83,0,0,1970-01-06,0,0.39,Home,85.74,189.02,1.49,0.954,WH-N100000,2025,2,7,6,1,Feb,2025-02,11908.26,6506.640000000001,54.64
2025-01-30,SKU-100126,North,49,165.67,0,0,1970-01-06,0,0.17,Electronics,50.98,190.65,0.55,0.959,WH-N100000,2025,1,5,3,1,Jan,2025-01,9341.85,6843.830000000001,73.26
2024-08-08,SKU-100127,West,54,196.23,0,0,1970-01-06,0,0.35,Toys,14.98,175.66,1.79,0.972,WH-W100003,2024,8,32,3,3,Aug,2024-08,9485.64,8676.720000000001,91.47
2025-06-16,SKU-100128,North,37,194.99,0,0,1970-01-06,0,-1.73,Toys,22.32,198.29,0.86,0.968,WH-N100000,2025,6,25,0,2,Jun,2025-06,7336.73,6510.89,88.74
2024-07-29,SKU-100129,East,57,169.01,0,1,1970-01-06,0,-0.09,Beauty,61.85,78.7,0.76,0.931,WH-E100002,2024,7,31,0,3,Jul,2024-07,4485.900000000001,960.45,21.41
2025-05-31,SKU-100130,West,50,198.6,0,0,1970-01-06,0,-0.09,Electronics,112.48,134.55,0.33,0.966,WH-W100003,2025,5,22,5,2,May,2025-05,6727.500000000001,1103.5000000000005,16.4
2024-09-10,SKU-100131,West,26,132.35,0,0,1970-01-06,0,0.75,Home,118.88,33.69,0.21,0.975,WH-W100003,2024,9,37,1,3,Sep,2024-09,875.9399999999999,-2214.94,-252.86
