sku_id,region,category,primary_warehouse_id,lead_time_days,target_service_level,z_score,mean_forecast,std_error,mae,wmape_combo,unit_cost_usd,selling_price_usd,cube_ft,n_days,safety_stock_units,safety_stock_value_usd,annual_storage_cost_usd,demand_during_lead_time,reorder_point_units,reorder_point_value_usd,current_stock_units,stock_gap_units,days_of_supply,urgency_level,replenishment_needed_units,replenishment_cost_usd,gross_margin_pct,daily_holding_cost_usd,forecast_model,forecast_wmape,policy_date
SKU-100005,East,Home,WH-E100000,4,0.975,1.959963984540054,27.492815,3.5670253409193915,2.8414919716971263,10.305929413226314,118.88,33.69,0.21,21,13.98,1661.94,87.25,109.97,123.95,14735.18,185.0,61.05,6.7,LOW,0.0,0.0,-252.86,1.1383,XGBoost,11.06,2026-04-09
SKU-100005,North,Home,WH-N100000,4,0.975,1.959963984540054,32.877056,4.464182532630214,3.7534186045328775,11.423447910283471,118.88,33.69,0.21,21,17.5,2080.4,109.22,131.51,149.01,17714.31,132.0,-17.01,4.0,HIGH,166.0,19734.08,-252.86,1.4249,XGBoost,11.06,2026-04-09
SKU-100005,South,Home,WH-S100000,6,0.975,1.959963984540054,24.28932,4.895774768191402,3.857172466459728,15.789594861161472,118.88,33.69,0.21,21,23.5,2793.68,146.67,145.74,169.24,20119.25,176.0,6.76,7.2,MEDIUM,0.0,0.0,-252.86,1.9135,XGBoost,11.06,2026-04-09
SKU-100005,West,Home,WH-W100000,6,0.975,1.959963984540054,28.947952,4.6661252606275,4.040942146664574,13.798339014954903,118.88,33.69,0.21,21,25.76,3062.35,139.8,173.69,199.45,23710.62,252.0,52.55,8.7,LOW,0.0,0.0,-252.86,2.0975,XGBoost,11.06,2026-04-09
SKU-100006,Central,Electronics,WH-C100000,2,0.952,1.6645628612027212,70.89434,9.632866161725076,8.693747384207589,11.77103126696641,82.88,157.93,0.66,21,22.68,1879.72,310.15,141.79,164.47,13631.27,109.0,-55.47,1.5,HIGH,220.0,18233.6,47.52,1.2875,XGBoost,11.06,2026-04-09
SKU-100006,East,Electronics,WH-E100000,4,0.952,1.6645628612027212,71.99884,7.117532192503045,6.17984862554641,8.739179868625104,82.88,157.93,0.66,21,23.7,1964.26,324.1,288.0,311.7,25833.7,308.0,-3.7,4.3,HIGH,315.0,26107.2,47.52,1.3454,XGBoost,11.06,2026-04-09
SKU-100006,North,Electronics,WH-N100000,4,0.952,1.6645628612027212,73.4909,8.679447154058193,7.778619675409226,9.972589321359452,82.88,157.93,0.66,21,28.89,2394.4,395.08,293.96,322.85,26757.81,454.0,131.15,6.2,LOW,0.0,0.0,47.52,1.64,XGBoost,11.06,2026-04-09
SKU-100006,South,Electronics,WH-S100000,6,0.952,1.6645628612027212,67.37775,10.664066554951257,8.300360361735025,12.459440133798507,82.88,157.93,0.66,21,43.48,3603.62,594.6,404.27,447.75,37109.52,130.0,-317.75,1.9,HIGH,766.0,63486.08,47.52,2.4682,XGBoost,11.06,2026-04-09
SKU-100006,West,Electronics,WH-W100000,6,0.952,1.6645628612027212,72.916214,9.680761028292702,7.751020885649181,10.638656110604328,82.88,157.93,0.66,21,45.39,3761.92,539.76,437.5,482.89,40021.92,233.0,-249.89,3.2,HIGH,733.0,60751.04,47.52,2.5767,XGBoost,11.06,2026-04-09
SKU-100007,Central,Kitchen,WH-C100000,2,0.972,1.911035647549118,23.701323,4.159475843346999,3.480535234723772,14.137570558573216,40.39,32.87,0.64,21,11.24,453.98,72.64,47.4,58.64,2368.47,60.0,1.36,2.5,MEDIUM,0.0,0.0,-22.88,0.3109,XGBoost,11.06,2026-04-09
SKU-100007,East,Kitchen,WH-E100000,4,0.972,1.911035647549118,25.704796,2.5692108334006414,2.130852381388346,8.150801444015894,40.39,32.87,0.64,21,9.82,396.63,63.46,102.82,112.64,4549.53,158.0,45.36,6.1,LOW,0.0,0.0,-22.88,0.2717,XGBoost,11.06,2026-04-09
SKU-100007,North,Kitchen,WH-N100000,4,0.972,1.911035647549118,28.783842,4.2911778315066496,3.6675276983351934,13.053912124491514,40.39,32.87,0.64,21,16.4,662.4,105.98,115.14,131.54,5312.9,298.0,166.46,10.4,ADEQUATE,0.0,0.0,-22.88,0.4537,XGBoost,11.06,2026-04-09
SKU-100007,South,Kitchen,WH-S100000,6,0.972,1.911035647549118,22.647778,4.407949189536815,3.9556017376127697,16.287771828821658,40.39,32.87,0.64,21,20.63,833.25,133.32,135.89,156.52,6321.84,156.0,-0.52,6.9,HIGH,157.0,6341.23,-22.88,0.5707,XGBoost,11.06,2026-04-09
SKU-100007,West,Kitchen,WH-W100000,6,0.972,1.911035647549118,26.069052,4.164778661699304,3.684421993437268,13.36318855415384,40.39,32.87,0.64,21,22.42,905.54,126.02,156.41,178.83,7222.94,76.0,-102.83,2.9,HIGH,282.0,11389.98,-22.88,0.6202,XGBoost,11.06,2026-04-09
SKU-100008,Central,Electronics,WH-C100000,2,0.949,1.635234015388649,36.373444,4.793694399666608,3.766898382277716,10.422248474783869,96.37,130.18,0.12,21,11.09,1068.74,32.06,72.75,83.84,8079.66,29.0,-54.84,0.8,HIGH,139.0,13395.43,25.97,0.732,XGBoost,11.06,2026-04-09
SKU-100008,East,Electronics,WH-E100000,4,0.949,1.635234015388649,36.136925,7.003762735166661,5.662110010782878,14.975353913940417,96.37,130.18,0.12,21,22.91,2207.84,66.24,144.55,167.46,16138.12,166.0,-1.46,4.6,HIGH,169.0,16286.53,25.97,1.5122,XGBoost,11.06,2026-04-09
SKU-100008,North,Electronics,WH-N100000,4,0.949,1.635234015388649,41.532715,5.970391126827503,4.58853512718564,10.588927204946062,96.37,130.18,0.12,21,19.53,1882.11,56.46,166.13,185.66,17892.05,394.0,208.34,9.5,ADEQUATE,0.0,0.0,25.97,1.2891,XGBoost,11.06,2026-04-09
SKU-100008,South,Electronics,WH-S100000,6,0.949,1.635234015388649,35.776695,4.079003058653156,3.2804920559837702,9.185377744507386,96.37,130.18,0.12,21,16.34,1574.69,47.24,214.66,231.0,22261.47,86.0,-145.0,2.4,HIGH,376.0,36235.12,25.97,1.0786,XGBoost,11.06,2026-04-09
SKU-100008,West,Electronics,WH-W100000,6,0.949,1.635234015388649,42.7553,5.5292851810375,4.290841238839286,9.783677081193076,96.37,130.18,0.12,21,25.47,2454.54,64.04,256.53,282.0,27176.34,290.0,8.0,6.8,MEDIUM,0.0,0.0,25.97,1.6812,XGBoost,11.06,2026-04-09
SKU-100009,Central,Electronics,WH-C100000,2,0.975,1.959963984540054,16.18215,2.050848803989588,1.744606653849284,11.102042309034708,47.52,108.9,0.08,21,5.68,269.91,5.4,32.36,38.04,1807.66,51.0,12.96,3.2,LOW,0.0,0.0,56.36,0.1849,XGBoost,11.06,2026-04-09
SKU-100009,East,Electronics,WH-E100000,4,0.975,1.959963984540054,16.36459,1.642979347060617,1.323067892165411,8.368802907164339,47.52,108.9,0.08,21,6.44,306.03,6.12,65.46,71.9,3416.69,58.0,-13.9,3.5,HIGH,86.0,4086.72,56.36,0.2096,XGBoost,11.06,2026-04-09
SKU-100009,North,Electronics,WH-N100000,4,0.975,1.959963984540054,18.27353,1.8655686970900585,1.670870644705636,8.860677638942319,47.52,108.9,0.08,21,7.31,347.37,6.95,73.09,80.4,3820.61,140.0,59.6,7.7,LOW,0.0,0.0,56.36,0.2379,XGBoost,11.06,2026-04-09
SKU-100009,South,Electronics,WH-S100000,6,0.975,1.959963984540054,14.859256,1.721526443550638,1.4102481206258135,9.22592225572675,47.52,108.9,0.08,21,8.26,392.52,7.85,89.16,97.42,4629.4,170.0,72.58,11.4,LOW,0.0,0.0,56.36,0.2688,XGBoost,11.06,2026-04-09
SKU-100009,West,Electronics,WH-W100000,6,0.975,1.959963984540054,17.64324,1.6374468874762402,1.2480637686593192,7.102801916210755,47.52,108.9,0.08,21,9.04,429.58,7.47,105.86,114.9,5460.05,56.0,-58.9,3.2,HIGH,174.0,8268.48,56.36,0.2942,XGBoost,11.06,2026-04-09
SKU-100010,Central,Pet,WH-C100000,2,0.978,2.014090812018139,17.700752,1.9821312559334208,1.8637772514706563,9.784830545758872,68.29,97.95,0.38,21,5.65,385.84,36.65,35.4,41.05,2803.3,61.0,19.95,3.4,LOW,0.0,0.0,30.28,0.2643,XGBoost,11.06,2026-04-09
SKU-100010,East,Pet,WH-E100000,4,0.978,2.014090812018139,20.759464,3.8741914284210313,3.287830352783203,15.691917557165477,68.29,97.95,0.38,21,15.61,1066.01,101.27,83.04,98.65,6736.81,151.0,52.35,7.3,LOW,0.0,0.0,30.28,0.7301,XGBoost,11.06,2026-04-09
SKU-100010,North,Pet,WH-N100000,4,0.978,2.014090812018139,23.142862,2.55997482984796,2.088224320184617,9.079236155918135,68.29,97.95,0.38,21,10.31,704.07,66.89,92.57,102.88,7025.68,109.0,6.12,4.7,MEDIUM,0.0,0.0,30.28,0.4822,XGBoost,11.06,2026-04-09
SKU-100010,South,Pet,WH-S100000,6,0.978,2.014090812018139,17.42642,3.1658419116201824,2.3253271466209773,12.850492092246212,68.29,97.95,0.38,21,15.62,1066.69,101.34,104.56,120.18,8207.09,84.0,-36.18,4.8,HIGH,156.0,10653.24,30.28,0.7306,XGBoost,11.06,2026-04-09
SKU-100010,West,Pet,WH-W100000,6,0.978,2.014090812018139,21.044622,2.201099200567214,1.7581117720831008,8.27810473788432,68.29,97.95,0.38,21,12.49,852.94,70.45,126.27,138.76,9475.92,267.0,128.24,12.7,LOW,0.0,0.0,30.28,0.5842,XGBoost,11.06,2026-04-09
SKU-100011,Central,Kitchen,WH-C100000,2,0.933,1.4985130678799763,45.48637,6.7160927641847525,5.586536407470703,12.93464877922142,38.64,161.51,0.29,21,14.23,549.85,39.86,90.97,105.2,4064.93,55.0,-50.2,1.2,HIGH,155.0,5989.2,76.08,0.3766,XGBoost,11.06,2026-04-09
SKU-100011,East,Kitchen,WH-E100000,4,0.933,1.4985130678799763,47.989513,5.932646618896784,4.606733231317429,9.401496381307195,38.64,161.51,0.29,21,17.78,687.02,49.81,191.96,209.74,8104.35,176.0,-33.74,3.7,HIGH,243.0,9389.52,76.08,0.4706,XGBoost,11.06,2026-04-09
SKU-100011,North,Kitchen,WH-N100000,4,0.933,1.4985130678799763,50.68581,6.350729804921651,4.77923093523298,9.284352409532753,38.64,161.51,0.29,21,19.03,735.32,53.31,202.74,221.77,8569.19,332.0,110.23,6.6,LOW,0.0,0.0,76.08,0.5036,XGBoost,11.06,2026-04-09
SKU-100011,South,Kitchen,WH-S100000,6,0.933,1.4985130678799763,41.248104,5.974397336123422,4.875804991949172,11.648680854885756,38.64,161.51,0.29,21,21.93,847.38,61.43,247.49,269.42,10410.39,457.0,187.58,11.1,LOW,0.0,0.0,76.08,0.5804,XGBoost,11.06,2026-04-09
SKU-100011,West,Kitchen,WH-W100000,6,0.933,1.4985130678799763,48.660942,7.018378814343012,5.919125511532738,11.445822801816693,38.64,161.51,0.29,21,29.62,1144.52,72.16,291.97,321.59,12426.24,635.0,313.41,13.0,LOW,0.0,0.0,76.08,0.7839,XGBoost,11.06,2026-04-09
SKU-100012,Central,Kitchen,WH-C100000,2,0.931,1.4832801273356213,21.861454,3.3851280256071816,2.894735336303711,12.851890472274636,30.059999999999995,129.52,0.22,21,7.1,213.43,11.74,43.72,50.82,1527.65,37.0,-13.82,1.7,HIGH,65.0,1953.9,76.79,0.1462,XGBoost,11.06,2026-04-09
SKU-100012,East,Kitchen,WH-E100000,4,0.931,1.4832801273356213,23.868917,2.951978422814188,2.4193907238188244,9.865476718745738,30.059999999999995,129.52,0.22,21,8.76,263.33,14.48,95.48,104.24,3133.45,195.0,90.76,8.2,LOW,0.0,0.0,76.79,0.1804,XGBoost,11.06,2026-04-09
SKU-100012,North,Kitchen,WH-N100000,4,0.931,1.4832801273356213,27.498884,3.341671397831682,2.547955740065801,9.354382945426226,30.059999999999995,129.52,0.22,21,9.91,297.89,16.38,110.0,119.91,3604.49,151.0,31.09,5.5,LOW,0.0,0.0,76.79,0.204,XGBoost,11.06,2026-04-09
SKU-100012,South,Kitchen,WH-S100000,6,0.931,1.4832801273356213,20.894522,3.38114586675033,2.6386821383521677,11.891056821134107,30.059999999999995,129.52,0.22,21,12.28,369.14,20.3,125.37,137.65,4137.76,172.0,34.35,8.2,MEDIUM,0.0,0.0,76.79,0.2528,XGBoost,11.06,2026-04-09
SKU-100012,West,Kitchen,WH-W100000,6,0.931,1.4832801273356213,25.948437,4.097657241271285,3.505004701160249,13.630573812603611,30.059999999999995,129.52,0.22,21,17.12,514.63,24.62,155.69,172.81,5194.67,185.0,12.19,7.1,MEDIUM,0.0,0.0,76.79,0.3525,XGBoost,11.06,2026-04-09
SKU-100013,Central,Toys,WH-C100000,2,0.973,1.9268365732639106,25.779898,3.255047281960779,2.585354668753488,10.3611541870633,119.1,158.8,0.61,21,8.87,1056.42,161.1,51.56,60.43,7197.21,114.0,53.57,4.4,LOW,0.0,0.0,25.0,0.7236,XGBoost,11.06,2026-04-09
SKU-100013,East,Toys,WH-E100000,4,0.973,1.9268365732639106,29.233408,4.1810281101443865,4.142608642578125,15.674735376106897,119.1,158.8,0.61,21,16.11,1918.7,292.6,116.93,133.04,15845.06,56.0,-77.04,1.9,HIGH,210.0,25011.0,25.0,1.3142,XGBoost,11.06,2026-04-09
SKU-100013,North,Toys,WH-N100000,4,0.973,1.9268365732639106,30.138906,3.704681606261842,2.877761477515811,9.988924120321125,119.1,158.8,0.61,21,14.28,1700.75,259.36,120.56,134.84,16059.44,57.0,-77.84,1.9,HIGH,213.0,25368.3,25.0,1.1649,XGBoost,11.06,2026-04-09
SKU-100013,South,Toys,WH-S100000,6,0.973,1.9268365732639106,28.963455,4.683409400747572,4.295534315563383,16.16598933067584,119.1,158.8,0.61,21,22.1,2632.11,401.4,173.78,195.88,23329.31,389.0,193.12,13.4,LOW,0.0,0.0,25.0,1.8028,XGBoost,11.06,2026-04-09
SKU-100013,West,Toys,WH-W100000,6,0.973,1.9268365732639106,30.166264,3.236512951809333,3.024902888706752,10.78488294651833,119.1,158.8,0.61,21,17.57,2092.59,277.53,181.0,198.57,23649.69,303.0,104.43,10.0,LOW,0.0,0.0,25.0,1.4333,XGBoost,11.06,2026-04-09
SKU-100014,Central,Pet,WH-C100000,2,0.983,2.1200716897421508,31.860107,4.279812566177431,3.964514686947777,11.57925011267188,39.01,44.01,0.77,21,12.83,500.5,96.35,63.72,76.55,2986.22,161.0,84.45,5.1,ADEQUATE,0.0,0.0,11.36,0.3428,XGBoost,11.06,2026-04-09
SKU-100014,East,Pet,WH-E100000,4,0.983,2.1200716897421508,34.70457,5.768250062129096,4.892285210745675,13.808869527899258,39.01,44.01,0.77,21,24.46,954.18,183.68,138.82,163.28,6369.55,284.0,120.72,8.2,LOW,0.0,0.0,11.36,0.6536,XGBoost,11.06,2026-04-09
SKU-100014,North,Pet,WH-N100000,4,0.983,2.1200716897421508,34.145706,4.111741934546879,4.370289121355329,11.500760831259935,39.01,44.01,0.77,21,17.43,679.94,130.89,136.58,154.01,6007.93,149.0,-5.01,4.4,HIGH,159.0,6202.59,11.36,0.4657,XGBoost,11.06,2026-04-09
SKU-100014,South,Pet,WH-S100000,6,0.983,2.1200716897421508,32.20704,5.668833726859226,4.575212660289946,13.884315856538398,39.01,44.01,0.77,21,29.44,1148.45,221.08,193.24,222.68,8686.75,407.0,184.32,12.6,LOW,0.0,0.0,11.36,0.7866,XGBoost,11.06,2026-04-09
SKU-100014,West,Pet,WH-W100000,6,0.983,2.1200716897421508,36.097847,4.825481940141537,4.038394564674015,10.985270174650466,39.01,44.01,0.77,21,28.82,1124.27,188.19,216.59,245.41,9573.44,400.0,154.59,11.1,LOW,0.0,0.0,11.36,0.77,XGBoost,11.06,2026-04-09
SKU-100015,Central,Electronics,WH-C100000,2,0.976,1.9773684281819461,28.26649,4.236758161762528,3.159142630440848,11.149915147522464,54.03,86.74,0.58,21,11.85,640.26,92.84,56.53,68.38,3694.57,58.0,-10.38,2.1,HIGH,79.0,4268.37,37.71,0.4385,XGBoost,11.06,2026-04-09
SKU-100015,East,Electronics,WH-E100000,4,0.976,1.9773684281819461,30.829145,4.031174045477194,3.769669396536691,11.745260713622834,54.03,86.74,0.58,21,15.94,861.24,124.88,123.32,139.26,7524.22,162.0,22.74,5.3,MEDIUM,0.0,0.0,37.71,0.5899,XGBoost,11.06,2026-04-09
SKU-100015,North,Electronics,WH-N100000,4,0.976,1.9773684281819461,31.92623,3.3165290941444048,3.068357467651367,9.152770842208948,54.03,86.74,0.58,21,13.12,708.87,102.79,127.7,140.82,7608.5,100.0,-40.82,3.1,HIGH,182.0,9833.46,37.71,0.4855,XGBoost,11.06,2026-04-09
SKU-100015,South,Electronics,WH-S100000,6,0.976,1.9773684281819461,28.16326,4.136181844202938,3.144001007080078,11.115155056823248,54.03,86.74,0.58,21,20.03,1082.22,156.92,168.98,189.01,10212.21,384.0,194.99,13.6,ADEQUATE,0.0,0.0,37.71,0.7412,XGBoost,11.06,2026-04-09
SKU-100015,West,Electronics,WH-W100000,6,0.976,1.9773684281819461,32.75335,3.9541298307312376,3.051441374279204,8.962275352481193,54.03,86.74,0.58,21,22.02,1189.74,150.03,196.52,218.54,11807.72,502.0,283.46,15.3,ADEQUATE,0.0,0.0,37.71,0.8149,XGBoost,11.06,2026-04-09
SKU-100016,Central,Pet,WH-C100000,2,0.987,2.2262117693171746,30.885494,4.629992371899935,3.4643346695672896,11.3319358173822,119.39000000000001,197.26,0.68,21,14.58,1740.71,295.92,61.77,76.35,9115.43,174.0,97.65,5.6,ADEQUATE,0.0,0.0,39.48,1.1923,XGBoost,11.06,2026-04-09
SKU-100016,East,Pet,WH-E100000,4,0.987,2.2262117693171746,28.05779,5.316593809108032,4.153001331147694,14.297217673955636,119.39000000000001,197.26,0.68,21,23.67,2825.96,480.41,112.23,135.9,16225.1,78.0,-57.9,2.8,HIGH,194.0,23161.66,39.48,1.9356,XGBoost,11.06,2026-04-09
SKU-100016,North,Pet,WH-N100000,4,0.987,2.2262117693171746,32.993366,4.787082502997923,3.526995613461449,10.461427652270643,119.39000000000001,197.26,0.68,21,21.31,2544.2,432.51,131.97,153.28,18300.1,226.0,72.72,6.8,LOW,0.0,0.0,39.48,1.7426,XGBoost,11.06,2026-04-09
SKU-100016,South,Pet,WH-S100000,6,0.987,2.2262117693171746,25.30937,4.568591975021787,3.200495402018229,12.63353445790366,119.39000000000001,197.26,0.68,21,24.91,2974.0,505.58,151.86,176.77,21104.57,397.0,220.23,15.7,ADEQUATE,0.0,0.0,39.48,2.037,XGBoost,11.06,2026-04-09
SKU-100016,West,Pet,WH-W100000,6,0.987,2.2262117693171746,35.91628,3.807167063725717,3.1876441410609653,9.2204582465669,119.39000000000001,197.26,0.68,21,23.87,2849.84,421.35,215.5,239.37,28578.38,220.0,-19.37,6.1,HIGH,259.0,30922.01,39.48,1.9519,XGBoost,11.06,2026-04-09
SKU-100017,Central,Home,WH-C100000,2,0.954,1.6849407678719144,41.757954,6.652604130870219,5.4118007478259855,13.108167886189625,85.74,189.02,1.49,21,15.85,1358.98,506.22,83.52,99.37,8519.98,168.0,68.63,4.0,LOW,0.0,0.0,54.64,0.9308,XGBoost,11.06,2026-04-09
